Idiom,Sense,Idiomatic_Sent,Literal_Sent,Idiomatic_Label,Literal_Label
the benefit of the doubt,regards a person as innocent unless confirmed otherwise,Let 's give her the benefit of the doubt and assume that she is right .,Let 's regard her as innocent and assume that she is right .,O O B O I I I I I O O O O O O O,O O B O I I O O O O O O O
the benefit of the doubt,regards a person as innocent unless confirmed otherwise,"I do n't believe that he did n't take the money , but I will give him the benefit of the doubt until I can prove otherwise .","I do n't believe that he did n't take the money , but I will believe him until I can prove otherwise .",O O O O O O O O O O O O O O O B O O I I O I O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O
the benefit of the doubt,regards a person as innocent unless confirmed otherwise,"She said that she will be on time today and I do n't think that 's true , but I will give her the benefit of the doubt and I think Peter broke the window but he denies it and I will give him","She said that she will be on time today and I do n't think that 's true , but I will believe her and I think Peter broke the window but he denies it and I will give him",O O O O O O O O O O O O O O O O O O O O O O O O B I O I O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O
the benefit of the doubt,regards a person as innocent unless confirmed otherwise,Give him the benefit of the doubt and he 'll go free .,Regard him as innocent and he 'll go free .,B O I I I I I O O O O O O,B O I I O O O O O O
the benefit of the doubt,regards a person as innocent unless confirmed otherwise,The court gave the wrongly accused man the benefit of the doubt .,The court regarded the wrongly accused man as innocent unless proven guilty .,O O B O O O O O I I O I O,O O B O O O O I I I I I O
ballpark figure,an estimate of what the actual figure will be like,The management was given a ballpark figure at the very beginning of the presentation .,The management was given a rough estimate at the very beginning of the presentation .,O O O O O B I O O O O O O O O,O O O O O B I O O O O O O O O
ballpark figure,an estimate of what the actual figure will be like,She manages to give her father a ballpark amount that she would need every week .,She manages to give her father an estimate that she would need every week .,O O O O O O B I I O O O O O O O,O O O O O O B I O O O O O O O
ballpark figure,an estimate of what the actual figure will be like,I have donated this ballpark figure to the children 's aid this morning .,I have donated this estimated figure to the children 's aid this morning .,O O O O B O O O O O O O O O,O O O O B O O O O O O O O O
ballpark figure,an estimate of what the actual figure will be like,Even a ballpark figure to this number is going to hurt our overall numbers very badly this quarter .,Even an estimate to this number is going to hurt our overall numbers very badly this quarter .,O B I I O O O O O O O O O O O O O O O,O B I O O O O O O O O O O O O O O O
ballpark figure,an estimate of what the actual figure will be like,I save a ballpark figure of 20 % from my salary every month as something for the rainy day .,I save around of 20 % from my salary every month as something for the rainy day .,O O B I I O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O
